t,x,y
71.2,0.0154137,6.39323e+06
71.3,0.0154608,6.3933e+06
71.4,0.0155078,6.39337e+06
71.5,0.015555,6.39345e+06
71.6,0.0156023,6.39352e+06
71.7,0.0156496,6.3936e+06
71.8,0.015697,6.39367e+06
71.9,0.0157445,6.39375e+06
72,0.0157921,6.39382e+06
72.1,0.0158398,6.3939e+06
72.2,0.0158876,6.39397e+06
72.3,0.0159354,6.39405e+06
72.4,0.0159834,6.39412e+06
72.5,0.0160314,6.3942e+06
72.6,0.0160795,6.39428e+06
72.7,0.0161277,6.39435e+06
72.8,0.016176,6.39443e+06
72.9,0.0162243,6.39451e+06
73,0.0162728,6.39458e+06
73.1,0.0163213,6.39466e+06
73.2,0.0163699,6.39474e+06
73.3,0.0164186,6.39481e+06
73.4,0.0164674,6.39489e+06
73.5,0.0165163,6.39497e+06
73.6,0.0165653,6.39505e+06
73.7,0.0166143,6.39513e+06
73.8,0.0166635,6.3952e+06
73.9,0.0167127,6.39528e+06
74,0.016762,6.39536e+06
74.1,0.0168114,6.39544e+06
74.2,0.0168609,6.39552e+06
74.3,0.0169105,6.3956e+06
74.4,0.0169601,6.39568e+06
74.5,0.0170099,6.39576e+06
74.6,0.0170597,6.39583e+06
74.7,0.0171096,6.39591e+06
74.8,0.0171596,6.39599e+06
74.9,0.0172097,6.39607e+06
75,0.0172599,6.39615e+06
75.1,0.0173102,6.39624e+06
75.2,0.0173605,6.39632e+06
75.3,0.017411,6.3964e+06
75.4,0.0174615,6.39648e+06
75.5,0.0175121,6.39656e+06
75.6,0.0175628,6.39664e+06
75.7,0.0176136,6.39672e+06
75.8,0.0176645,6.3968e+06
75.9,0.0177155,6.39688e+06
76,0.0177665,6.39697e+06
76.1,0.0178177,6.39705e+06
76.2,0.0178689,6.39713e+06
76.3,0.0179202,6.39721e+06
76.4,0.0179716,6.3973e+06
76.5,0.0180231,6.39738e+06
76.6,0.0180747,6.39746e+06
76.7,0.0181264,6.39754e+06
76.8,0.0181782,6.39763e+06
76.9,0.01823,6.39771e+06
77,0.018282,6.39779e+06
77.1,0.018334,6.39788e+06
77.2,0.0183861,6.39796e+06
77.3,0.0184383,6.39805e+06
77.4,0.0184906,6.39813e+06
77.5,0.018543,6.39822e+06
77.6,0.0185955,6.3983e+06
77.7,0.0186481,6.39838e+06
77.8,0.0187007,6.39847e+06
